KOPR;KOSU;KOBO;NOKOPR;UD01PR;UD02PR;PM;PMIFRS;TIMOUL;PPUL01;PPUL02;TAUL;VALI;PMIN;FMPR;PFPR;HFPR;MRPR;RUPR;ULT_COMPRA;ULT_VENTA;STFI;VALSTOCK;PRMEDIO;UNIDAD;
"PCA921NOGAL06";"004";"006";"FIBROCOPPER NOGAL 4 GALONES";"GL";"BD";        4448.99166;        4448.99166;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0005";"0001";"";"";"/  /";"/  /";          89.00000;     1583841.03096;       17795.96664;"BD";
"PCA922NEGRO02";"004";"006";"ESMALTE SINTETICO NEGRO 1/4";"GL";"04";       10155.49801;       10155.38572;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0004";"";"01";"/  /";"/  /";         207.00000;      525547.02202;        2538.87450;"04";
"PCA922NEGRO02";"006";"007";"ESMALTE SINTETICO NEGRO 1/4";"GL";"04";       10155.49801;       10155.38572;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0004";"";"01";"/  /";"/  /";           5.00000;       12694.37251;        2538.87450;"04";
"PCA922NEGRO02";"007";"014";"ESMALTE SINTETICO NEGRO 1/4";"GL";"04";       10155.49801;       10155.38572;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0004";"";"01";"/  /";"/  /";           6.00000;       15233.24702;        2538.87450;"04";
"PCA960ECOPBN2";"004";"006";"ESMALTE AL AGUA COPPER 960 BLANCO NACAR 1/4.";"GL";"04";        8542.22142;        8542.22142;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0002";"";"";"/  /";"/  /";           4.00000;        8542.22142;        2135.55536;"04";
"PCA960ECOPDA2";"004";"006";"ESMALTE AL AGUA COPPER 960 DAMASCO 1/4";"GL";"04";        8420.35970;        8420.35970;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0002";"";"";"/  /";"/  /";           1.00000;        2105.08993;        2105.08993;"04";
"PCA970ESACIN6";"004";"006";"ESMALTE ACRILICO INCOLORO";"GL";"BD";        8755.52632;        8755.52632;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0004";"";"";"/  /";"/  /";           1.00000;       35022.10528;       35022.10528;"BD";
"PCA970ESINCO1";"004";"015";"ESMALTE ACRILICO INCOLORO COPPER GL.";"GL";"GL";       10003.90936;       10003.90936;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0004";"";"";"/  /";"/  /";           3.00000;       30011.72808;       10003.90936;"GL";
"PCA970ESINCO6";"004";"015";"ESMALTE ACRILICO INCOLORO COPPER 4 GALONES.";"GL";"BD";        9987.43750;        9987.43750;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0004";"";"";"/  /";"/  /";           5.00000;      199748.75000;       39949.75000;"BD";
"PCA925CONST01";"004";"006";"ESMALTE AL AGUA CONSTRUCCION BLANCO GL";"GL";"GL";        5208.34476;        5208.33861;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0002";"";"";"/  /";"/  /";          97.00000;      505209.44172;        5208.34476;"GL";
"PCA925CONST01";"006";"007";"ESMALTE AL AGUA CONSTRUCCION BLANCO GL";"GL";"GL";        5208.34476;        5208.33861;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0002";"";"";"/  /";"/  /";          13.00000;       67708.48188;        5208.34476;"GL";
"PCA925CONST01";"007";"014";"ESMALTE AL AGUA CONSTRUCCION BLANCO GL";"GL";"GL";        5208.34476;        5208.33861;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0002";"";"";"/  /";"/  /";          12.00000;       62500.13712;        5208.34476;"GL";
